"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"3636","PA4851_25670",NA,0.93,0.3,NA,4,2,NA,1,0.753,NA,4,4
"3637","PA4851_25720",0.694,0.711,0.43,3,3,2,0.906,0.718,0.067,4,3,1
"3638","PA4851_25730",NA,0.486,0.204,NA,2,1,NA,0.54,0.203,NA,3,1
"3639","PA4851_25745",0.161,0.23,0.603,1,1,3,NA,NA,0.076,NA,NA,1
"3640","PA4851_25765",0.175,0.439,0.203,1,2,1,0.263,0.178,0.222,2,1,1
"3641","PA4851_25775",0.252,NA,NA,2,NA,NA,0.218,NA,NA,1,NA,NA
"3642","PA4851_25790",0.135,0.401,0.109,1,2,1,0.169,0.484,0.127,1,2,1
"3643","PA4851_25795",0.174,0.52,0.312,1,3,2,0.196,0.55,0.33,1,3,2
"3644","PA4851_25805",0.153,0.401,0.109,1,2,1,0.204,0.484,0.127,1,2,1
"3645","PA4851_25885",0.055,NA,NA,1,NA,NA,0.078,NA,0.212,1,NA,1
"3646","PA4851_25910",0.102,NA,0.061,1,NA,1,0.041,NA,0.109,1,NA,1
"3647","PA4851_25915",0.44,NA,0.481,2,NA,2,0.455,NA,0.582,2,NA,3
"3648","PA4851_25920",0.557,0.835,0.79,3,4,4,0.165,0.44,0.163,1,2,1
"3649","PA4851_25930",0.188,0.176,0.212,1,1,1,0.188,0.289,0.217,1,2,1
"3650","PA4851_25945",0.142,NA,0.281,1,NA,2,0.425,NA,0.515,2,NA,3
"3651","PA4851_25950",0.226,0.479,0.144,1,2,1,0.237,0.455,0.14,1,2,1
"3652","PA4851_25960",0.173,NA,0.213,1,NA,1,0.178,NA,0.222,1,NA,1
"3653","PA4851_25965",0.17,NA,0.113,1,NA,1,0.389,NA,0.045,2,NA,1
"3654","PA4851_26010",0.214,0.331,0.114,1,2,1,0.287,0.41,0.22,2,2,1
"3655","PA4851_26110",0.003,NA,NA,1,NA,NA,0.005,NA,NA,1,NA,NA
"3656","PA4851_26115",NA,NA,0.054,NA,NA,1,NA,NA,0.155,NA,NA,1
"3657","PA4851_26120",0.234,NA,NA,1,NA,NA,0.222,NA,NA,1,NA,NA
"3658","PA4851_26125",0.281,NA,0.138,2,NA,1,0.586,NA,0.07,3,NA,1
"3659","PA4851_26135",0.116,NA,0.589,1,NA,3,0.173,NA,0.555,1,NA,3
"3660","PA4851_26140",0.14,0.439,0.562,1,2,3,0.199,0.205,0.575,1,1,3
"3661","PA4851_26160",0.252,NA,NA,2,NA,NA,0.238,NA,NA,1,NA,NA
"3662","PA4851_26175",0.519,NA,0.48,3,NA,2,0.125,NA,0.071,1,NA,1
